"","addition","value"
"1","TOT_original",2
"2","TOT_x_max",10
"3","TOTadd1",11
"4","TOTadd2",12
"5","TOTadd3",13
"6","TOTadd4",14
"7","TOTadd5",15
"8","TOTadd6",16
"9","TOTadd7",17
"10","TOTadd8",18
"11","TOTadd9",19
"12","TOTadd10",20
"13","TOT_original",1
"14","TOT_x_max",5
"15","TOTadd1",6
"16","TOTadd2",7
"17","TOTadd3",8
"18","TOTadd4",9
"19","TOTadd5",10
"20","TOTadd6",11
"21","TOTadd7",12
"22","TOTadd8",13
"23","TOTadd9",14
"24","TOTadd10",15
"25","TOT_original",0
"26","TOT_x_max",0
"27","TOTadd1",1
"28","TOTadd2",2
"29","TOTadd3",3
"30","TOTadd4",4
"31","TOTadd5",5
"32","TOTadd6",6
"33","TOTadd7",7
"34","TOTadd8",8
"35","TOTadd9",9
"36","TOTadd10",10
"37","TOT_original",1
"38","TOT_x_max",5
"39","TOTadd1",6
"40","TOTadd2",7
"41","TOTadd3",8
"42","TOTadd4",9
"43","TOTadd5",10
"44","TOTadd6",11
"45","TOTadd7",12
"46","TOTadd8",13
"47","TOTadd9",14
"48","TOTadd10",15
"49","TOT_original",1
"50","TOT_x_max",5
"51","TOTadd1",6
"52","TOTadd2",7
"53","TOTadd3",8
"54","TOTadd4",9
"55","TOTadd5",10
"56","TOTadd6",11
"57","TOTadd7",12
"58","TOTadd8",13
"59","TOTadd9",14
"60","TOTadd10",15
"61","TOT_original",1
"62","TOT_x_max",5
"63","TOTadd1",6
"64","TOTadd2",7
"65","TOTadd3",8
"66","TOTadd4",9
"67","TOTadd5",10
"68","TOTadd6",11
"69","TOTadd7",12
"70","TOTadd8",13
"71","TOTadd9",14
"72","TOTadd10",15
"73","TOT_original",0
"74","TOT_x_max",0
"75","TOTadd1",1
"76","TOTadd2",2
"77","TOTadd3",3
"78","TOTadd4",4
"79","TOTadd5",5
"80","TOTadd6",6
"81","TOTadd7",7
"82","TOTadd8",8
"83","TOTadd9",9
"84","TOTadd10",10
"85","TOT_original",0
"86","TOT_x_max",0
"87","TOTadd1",1
"88","TOTadd2",2
"89","TOTadd3",3
"90","TOTadd4",4
"91","TOTadd5",5
"92","TOTadd6",6
"93","TOTadd7",7
"94","TOTadd8",8
"95","TOTadd9",9
"96","TOTadd10",10
"97","TOT_original",1
"98","TOT_x_max",5
"99","TOTadd1",6
"100","TOTadd2",7
"101","TOTadd3",8
"102","TOTadd4",9
"103","TOTadd5",10
"104","TOTadd6",11
"105","TOTadd7",12
"106","TOTadd8",13
"107","TOTadd9",14
"108","TOTadd10",15
"109","TOT_original",1
"110","TOT_x_max",5
"111","TOTadd1",6
"112","TOTadd2",7
"113","TOTadd3",8
"114","TOTadd4",9
"115","TOTadd5",10
"116","TOTadd6",11
"117","TOTadd7",12
"118","TOTadd8",13
"119","TOTadd9",14
"120","TOTadd10",15
"121","TOT_original",2
"122","TOT_x_max",10
"123","TOTadd1",11
"124","TOTadd2",12
"125","TOTadd3",13
"126","TOTadd4",14
"127","TOTadd5",15
"128","TOTadd6",16
"129","TOTadd7",17
"130","TOTadd8",18
"131","TOTadd9",19
"132","TOTadd10",20
"133","TOT_original",3
"134","TOT_x_max",15
"135","TOTadd1",16
"136","TOTadd2",17
"137","TOTadd3",18
"138","TOTadd4",19
"139","TOTadd5",20
"140","TOTadd6",21
"141","TOTadd7",22
"142","TOTadd8",23
"143","TOTadd9",24
"144","TOTadd10",25
"145","TOT_original",4
"146","TOT_x_max",20
"147","TOTadd1",21
"148","TOTadd2",22
"149","TOTadd3",23
"150","TOTadd4",24
"151","TOTadd5",25
"152","TOTadd6",26
"153","TOTadd7",27
"154","TOTadd8",28
"155","TOTadd9",29
"156","TOTadd10",30
"157","TOT_original",0
"158","TOT_x_max",0
"159","TOTadd1",1
"160","TOTadd2",2
"161","TOTadd3",3
"162","TOTadd4",4
"163","TOTadd5",5
"164","TOTadd6",6
"165","TOTadd7",7
"166","TOTadd8",8
"167","TOTadd9",9
"168","TOTadd10",10
"169","TOT_original",1
"170","TOT_x_max",5
"171","TOTadd1",6
"172","TOTadd2",7
"173","TOTadd3",8
"174","TOTadd4",9
"175","TOTadd5",10
"176","TOTadd6",11
"177","TOTadd7",12
"178","TOTadd8",13
"179","TOTadd9",14
"180","TOTadd10",15
"181","TOT_original",3
"182","TOT_x_max",15
"183","TOTadd1",16
"184","TOTadd2",17
"185","TOTadd3",18
"186","TOTadd4",19
"187","TOTadd5",20
"188","TOTadd6",21
"189","TOTadd7",22
"190","TOTadd8",23
"191","TOTadd9",24
"192","TOTadd10",25
"193","TOT_original",2
"194","TOT_x_max",10
"195","TOTadd1",11
"196","TOTadd2",12
"197","TOTadd3",13
"198","TOTadd4",14
"199","TOTadd5",15
"200","TOTadd6",16
"201","TOTadd7",17
"202","TOTadd8",18
"203","TOTadd9",19
"204","TOTadd10",20
"205","TOT_original",1
"206","TOT_x_max",5
"207","TOTadd1",6
"208","TOTadd2",7
"209","TOTadd3",8
"210","TOTadd4",9
"211","TOTadd5",10
"212","TOTadd6",11
"213","TOTadd7",12
"214","TOTadd8",13
"215","TOTadd9",14
"216","TOTadd10",15
"217","TOT_original",0
"218","TOT_x_max",0
"219","TOTadd1",1
"220","TOTadd2",2
"221","TOTadd3",3
"222","TOTadd4",4
"223","TOTadd5",5
"224","TOTadd6",6
"225","TOTadd7",7
"226","TOTadd8",8
"227","TOTadd9",9
"228","TOTadd10",10
"229","TOT_original",0
"230","TOT_x_max",0
"231","TOTadd1",1
"232","TOTadd2",2
"233","TOTadd3",3
"234","TOTadd4",4
"235","TOTadd5",5
"236","TOTadd6",6
"237","TOTadd7",7
"238","TOTadd8",8
"239","TOTadd9",9
"240","TOTadd10",10
"241","TOT_original",1
"242","TOT_x_max",5
"243","TOTadd1",6
"244","TOTadd2",7
"245","TOTadd3",8
"246","TOTadd4",9
"247","TOTadd5",10
