Site;Grave_ID;InventoryNumber;Plate_number;grave_fill;source_distance_km;RawMaterial;object_type;count;comments;condition;retouch_1_side;polish_perc;length_mm;width_mm;thickness_mm;weight;total_graves;total_material;skill_level;specialColor
Hostice 4;Hos_800;A 34141 -b;;;100;Glacial flint;blade;1;extracted core?;fragment;0;;24;12;17;;413;93;;
Hostice 4;Hos_800;A 34141 - a;;;100;Glacial flint;blade;1;fragment of the basal part of the blade;fragment;1;;25;28;8;;413;93;;
Hostice 4;Hos_802;A 34160;;;100;Glacial flint;blade;1;terminal part of the blade;fragment;0;;38;24;6;;413;93;;
Hostice 4;Hos_835;A 34433;;;15;Moravian Jurassic chert;blade;1;blade fragment, fine retouch on both sides;fragment;2;;37;23;5;;413;18;;
Hostice 4;Hos_847;A 34538;;;100;Glacial flint;blade;1;blade, oblique retouch on the dorsal side, gloss, patina;whole;1;;38;21;20;;413;93;;
Hostice 4;Hos_847;A 34537;;;100;Glacial flint;blade;1;blade, steep retouch on the dorsal side, gloss;whole;1;;49;24;7;;413;93;;
Hostice 4;Hos_848;A 34590;20.1;;100;Glacial flint;point;1;point, steep retouch on the dorsal side;whole;1;;57;29;6;;413;93;;
Hostice 4;Hos_860;A 34684;21.2;;100;Glacial flint;flake;1;patinated flake;;0;;27;22;4;;413;93;;
Ivanovice na Hane 3/2;Iv3_2_800;A16782;25.1;;100;Glacial flint;blade;1;blade;whole;0;;75;28;5;;413;93;;
Ivanovice na Hane 3/2;Iv3_2_801;A16793;26.1;;100;Glacial flint;blade;1;blade;whole;0;;64;19;4;;413;93;;
Ivanovice na Hane 3/2;Iv3_2_803;A16801;;;100;Glacial flint;blade;1;bilaterally steep retouched double point;whole;2;;59;12;7;;413;93;;
Ivanovice na Hane 3/2;Iv3_2_806;A16812;;;100;patinated silicite (glacial?);scraper;1;scraper on bilaterally retouched blade, patinated silicite;whole;2;;44;20;5;;413;93;;
Ivanovice na Hane 3/2;Iv3_2_813;A16888;33.1;;100;Glacial flint?;blade;1;blade with utilization retouch;whole;1;;84;23;4;;413;93;;
Ivanovice na Hane 3/2;Iv3_2_814;A16848;35.1;;100;Glacial flint;blade;1;small blade, burnt;whole;0;;18;10;3;;413;93;;
Ivanovice na Hane 3/2;Iv3_2_814;A16851a;35.4a;;100;Glacial flint;blade;1;stored together (originally probably in organic packaging);whole;1;;87;24;7;;413;93;;
Ivanovice na Hane 3/2;Iv3_2_814;A16851b;35.4b;;100;Glacial flint;scraper;1;scraper on a retouched blade, stored together (originally probably in organic packaging);whole;1;;42;15;7;;413;93;;
