X	Y	fid	map_ID	Site_ID	site_name	District	INCLUDE	Reference
4818368.54110388	2984929.8457414	"1"	"48"	"193"	Mohelnice	Sumperk	"0"	Sebela 1999
4822346.69845239	2981180.22491298	"2"	"49"	"195"	Moravicany	Sumperk	"0"	Sebela 1999
4831349.25716469	2977085.74496748	"3"	"53"	"203"	Naklo	Olomouc	"0"	Sebela 1999
4841169.96225695	2972016.08726587	"4"	"10"	"43"	Chomoutov	Olomouc	"0"	Sebela 1999
4845188.23453186	2967941.38438475	"5"	"59"	"221"	Olomouc	Olomouc	"0"	Sebela 1999
4834997.86753011	2966881.01104375	"6"	"83"	"312"	Tesetice	Olomouc	"1"	Sebela 1999
4833688.37100886	2962137.79142164	"7"	"75"	"273"	Slatinky	Prostejov	"1"	Sebela 1999
4844128.47470242	2962687.04497489	"8"	"32"	"137"	Kozusany-Tazaly	Olomouc	"0"	Sebela 1999
4836742.36298787	2962843.10689331	"9"	"44"	"173"	Lutín	Olomouc	"1"	Sebela 1999
4845459.94200736	2959518.33485476	"10"	"15"	"72"	Drahlov	Olomouc	"1"	Sebela 1999
4833708.67714474	2958514.54073585	"11"	"11"	"56"	Celechovice Na Hané	Prostejov	"1"	Sebela 1999
4834440.07286304	2956039.49897871	"12"	"78"	"281"	Smrzice	Prostejov	"1"	Sebela 1999
4838947.39891916	2955990.60286356	"13"	"16"	"78"	Drzovice	Prostejov	"0"	Sebela 1999
4831593.62249651	2957901.93557537	"14"	"30"	"131"	Kostelec Na Hané	Prostejov	"0"	Sebela 1999
4830421.78812743	2956021.377853	"15"	"1"	"8"	Bílovice	Prostejov	"0"	Sebela 1999
4831272.7677039	2953675.0374461	"16"	"51"	"198"	Mostkovice	Prostejov	"1"	Sebela 1999
4836613.89021078	2953249.74660537	"17"	"64"	"246.1"	Prostejov (Dolní ulice)	Prostejov	"1"	Sebela 1999
4828285.90995354	2953006.33357395	"18"	"58"	"220"	Ohrozim	Prostejov	"0"	Sebela 1999
4847623.97400907	2954709.49106354	"19"	"18"	"81"	Dub Nad Moravou	Olomouc	"0"	Sebela 1999
4833150.20094733	2950785.26287889	"20"	"73"	"270"	Seloutky	Prostejov	"0"	Sebela 1999
4833577.40110416	2948633.11682846	"21"	"89"	"328"	Urcice	Prostejov	"0"	Sebela 1999
4836069.90581436	2946514.54458511	"22"	"12"	"58"	Detkovice Na Hané	Prostejov	"1"	Sebela 1999
4869226.35115701	2963823.78153108	"23"	"41"	"162"	Lipník Nad Becvou	Prerov	"0"	Sebela 1999
4869975.59200105	2960202.14669486	"24"	"87"	"322"	Týn Nad Becvou	Prerov	"0"	Sebela 1999
4878006.12080978	2959744.56677735	"25"	"69"	"262"	Rakov	Prerov	"0"	Sebela 1999
4866326.0467568	2955600.94750914	"26"	"62"	"233"	Pavlovice U Prerova	Prerov	"0"	Sebela 1999
4848803.29471523	2950054.5907353	"27"	"84"	"314"	Tovacov	Prerov	"1"	Sebela 1999
4846916.99550721	2948232.19417489	"28"	"60"	"225"	Oplocany	Prerov	"0"	Sebela 1999
