X	Y	fid	name	period	resource	abs_dates	reference	geo_type
5122702.3167949	3156745.6240305	"1"	Krzemionki	Neolithic	flint		Sørensen 2014: fig 114	
4543700.73262455	3489294.34666017	"2"	Rügen	Neolithic	flint		Sørensen 2014: fig 114	
4524513.29222578	3611331.42973055	"3"	Sallerup	Neolithic	flint	4000 cal BCE onwards	"Sørensen 2014: fig 114; Vang Petersen 2007: 23"	Senonian flint from Zealand
4482377.48390292	3583268.4577265	"4"	Stevns Klint	Neolithic	flint		Sørensen 2014: fig 114	Danien flint
4376758.21052206	3708876.44238078	"5"	Fornæs/Sangstrup Klint	Neolithic	flint		Sørensen 2014: fig 114	
4248583.82140307	3771776.10855802	"6"	Hov	Neolithic	flint	4000-2700 cal BCE	"Vang Petersen 2007: 23; Sørensen 2014: fig 114"	Senonian flint from Zealand
4027437.84369443	3075042.08297483	"7"	Rijckholt	Neolithic	flint	4250/4000-3600 cal BCE	Sørensen 2014: fig 114	
3894398.53585279	3054687.95383719	"8"	Spiennes	Neolithic	flint	4450-3500 cal BCE	Sørensen 2014: fig 114	
3741890.06100993	3016487.08828177	"9"	Les Bouts du Mont	Neolithic	flint		Sørensen 2014: fig 114	
3795282.77657387	2959259.53679335	"10"	Le fond Madelon Duriez	Neolithic	flint		Sørensen 2014: fig 114	
3800297.56201358	2947460.0416411	"11"	La Porte aux Bergers	Neolithic	flint		Sørensen 2014: fig 114	
3774928.64743624	2944805.15523184	"12"	Parc du Brimborion	Neolithic	flint		Sørensen 2014: fig 114	
3867654.3293111	2914541.01457284	"13"	Rhomigny-Lhéry	Neolithic	flint		Sørensen 2014: fig 114	
4013868.30452769	2759829.48883846	"14"	Vaux-Le-Montcelot	Neolithic	flint		Sørensen 2014: fig 114	
4033456.03587762	2729794.96743523	"15"	Villers-Chemin-et-mont-Les-Etrelles	Neolithic	flint		Sørensen 2014: fig 114	
3852865.87309435	2814088.49674518	"16"	"Villemaur-sur-Vanne ""Les Orlets"""	Neolithic	flint		Sørensen 2014: fig 114	
3791166.76602677	2890376.55523759	"17"	Jablines	Neolithic	flint	4300-2900 cal BCE	Sørensen 2014: fig 114	
3733418.83330343	2896151.34850993	"18"	Flins-sur-seine	Neolithic	flint		Sørensen 2014: fig 114	
3582080.33605769	2898923.62415607	"19"	"Ri ""Le Fresne"""	Neolithic	flint	4200-3600/3100 cal BCE	Sørensen 2014: fig 114	
3574690.54736711	2924982.35269653	"20"	"Bretteville-le-Rabet ""La Fordelle"""	Neolithic	flint		Sørensen 2014: fig 114	
