X	Y	fid	resource	Reference	OreDeposit	metallurgy	date	mine	sitename	type	res_simple	auxiliary_storage_labeling_positionx	auxiliary_storage_labeling_positiony
4526522.56931743	3049376.14714341	"1"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4595068.4903772	3091812.99483572	"2"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4541652.70775564	3002186.10726732	"3"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4602787.23650451	3008428.26474765	"4"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4622788.88096871	2947908.61365318	"5"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4667712.43300698	2980742.76347656	"6"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
4686967.31551752	2918315.39917607	"7"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
4807269.61019833	2859916.14713182	"8"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4866426.80493658	2868988.56099863	"9"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4867873.42150309	2728865.75185822	"10"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4991815.3481389	2966657.6832712	"11"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4949295.9886855	2895134.86472031	"12"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
4983935.28159417	2906147.57380609	"13"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5059415.88378275	2943386.81964893	"14"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5115123.21503713	2936050.30311252	"15"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5069475.31504992	2869278.73334411	"16"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5053185.56457598	2781848.53911348	"17"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5148425.29006732	2873905.82990084	"18"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5197828.46993746	2996964.51520721	"19"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5209612.90892611	2945887.22574133	"20"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5277663.36254159	2940491.46700979	"21"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5320864.89326466	2911994.92951727	"22"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5402556.93458498	2868249.59781402	"23"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5467284.91578303	2862172.81144269	"24"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5557867.94559154	2869769.19320379	"25"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5280586.2398434	2738944.84997175	"26"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5193748.00890074	2688892.63496066	"27"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4399572.24137288	2719986.74544527	"28"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4340264.24043633	2714251.60013489	"29"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4386359.09780402	2653427.25625645	"30"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4461902.60362514	2668848.42881069	"31"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4089872.09589926	2519109.73575262	"32"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4791859.39900819	2535446.11946222	"33"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5106572.5265206	2618608.95083276	"34"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4090644.90603514	2443145.58287401	"35"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4862022.6842688	2437942.55842596	"36"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4918668.91695234	2404789.26627201	"37"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5000760.13860657	2452348.50183685	"38"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5078631.28202458	2404583.9550139	"39"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5028217.68056263	2372347.28382032	"40"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4500903.70912614	3123366.28248642	"41"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
5240879.31565249	2624652.80632648	"42"	Gold (alluvial)	"Anthony and Pernicka 2010; Cristea-Stan and Constantinescu 2016"	alluvial				Lipova	Alluvial	Gold		
5311576.37169469	2682577.69125086	"43"	Gold (alluvial)	"Anthony and Pernicka 2010; Cristea-Stan and Constantinescu 2016"	alluvial				Valea Tebei	Alluvial	Gold	5310041.39892061	2689674.57154585
5378575.61259368	2627895.70329881	"44"	Gold (alluvial)	"Anthony and Pernicka 2010; Cristea-Stan and Constantinescu 2016"	alluvial				Sebes	Alluvial	Gold		
5337827.55738524	2684524.12044662	"45"	Gold (alluvial)	"Anthony and Pernicka 2010; Cristea-Stan and Constantinescu 2016"	alluvial				Lupsa V Ariesului	Alluvial	Gold		
5319922.66394268	2738755.11078804	"46"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5414801.90729435	2691741.85236751	"47"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5400761.73603026	2804053.33406267	"48"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5540888.35039512	2757954.22555905	"49"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5364464.27995409	2613472.3185386	"50"	Gold (alluvial)	"Anthony and Pernicka 2010; Cristea-Stan and Constantinescu 2016"	alluvial				Valea Pianului	Alluvial	Gold		
5535898.88104515	2650892.3718019	"51"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5444263.15617489	2572473.77543873	"52"	Gold (alluvial)	"Anthony and Pernicka 2010; Cristea-Stan and Constantinescu 2016"	alluvial				Valea Oltului	Alluvial	Gold		
5832071.8983139	2858400.9776362	"53"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5813805.45252284	2796273.00919947	"54"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5296540.21481596	2553299.37715074	"55"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5159294.25034701	2511538.21701432	"56"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3912529.52789504	2381392.13645566	"57"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3820239.93317087	2340340.86753447	"58"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
3745489.76361083	2382280.7119384	"59"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6862080.81680843	3947424.51694255	"60"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7325056.9582718	4158059.39318119	"61"	copper mine	Anthony and Pernicka 2010	TRUE			copper mine	Kargaly	Mine	Copper		
6730491.37902185	2915337.12467592	"62"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6820211.48625007	2932806.64012968	"63"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6891272.43455841	2898833.64195318	"64"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6966499.13454645	2902632.78255298	"65"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
6943964.10214	2722150.83610667	"66"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5167329.4342932	2483279.45964586	"67"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5165551.56804776	2414497.47944671	"68"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5188549.50301281	2410378.1669369	"69"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5190789.00034493	2447895.70070303	"70"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5228815.69526025	2442509.24695206	"71"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5275646.10453809	2453662.52526403	"72"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5264102.68139016	2393882.84784128	"73"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5259082.52075154	2338499.39706327	"74"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5368681.01243183	2445272.25486351	"75"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5342688.51275993	2397515.59116845	"76"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5435030.57082899	2463143.33937252	"77"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5480965.69583203	2387023.21934871	"78"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5413018.18844537	2339927.49206967	"79"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5498641.9495908	2321718.7329528	"80"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5308825.4208194	2348392.295667	"81"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5140679.50894206	2317398.78969894	"82"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5089137.70249753	2336901.51827579	"83"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5060923.56700008	2320229.09798021	"84"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5212755.50329016	2247947.09075332	"85"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5212190.17155894	2180794.57402803	"86"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5307907.80220632	2241557.96422359	"87"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5349766.60341378	2157673.70143708	"88"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5386226.24647357	2198779.12774292	"89"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5415783.84461239	2172896.1623603	"90"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5464415.99751566	2208962.9726972	"91"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5452426.97603931	2278272.9323394	"92"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5551706.53521177	2295749.35294214	"93"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5604840.82908196	2271913.38956525	"94"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5735786.59146491	2299227.55695376	"95"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5597326.12526926	2209839.3730381	"96"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5531422.81080739	2151430.77613489	"97"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4429015.95891126	2246080.68763138	"98"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5569416.5803327	2105703.00121385	"99"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5677713.47738012	2201566.70377963	"100"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5579201.23089131	2052048.14255893	"101"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
4250134.73386848	1901193.83376334	"102"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
5935130.356106	2087177.04642484	"103"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
5579310.2320248	1760459.16295134	"104"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
