ID;length_approx;width_approx;Period;Culture;Reference;Country
1;14;4.4;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
2;18.8;4.6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
3;13.6;5;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
4;16.8;5.3;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
5;14.8;5.75;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
6;14.4;6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
7;14.7;7;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
8;15.5;5.85;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
9;16;5.9;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
10;17;6.5;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
11;19.8;5.6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
12;19.8;5.8;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
13;19.6;6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
14;19.6;6.35;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
15;20;6.2;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
16;19.9;7.11;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
17;21.5;5.5;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
18;21.1;5.8;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
19;20.05;6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
20;21.4;6.12;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
21;22.45;6.2;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
22;22.4;6.3;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
23;21.25;7.12;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
24;21.5;7.12;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
25;23.5;5.18;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
26;24.6;5.7;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
27;23.13;5.88;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
28;23.13;6.11;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
29;24.38;6.11;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
30;22.75;6.3;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
31;23;6.4;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
32;23.2;6.4;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
33;23.15;6.2;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
34;24.6;6.4;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
35;23;6.6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
36;24.6;6.6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
37;22.7;7.12;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
38;24.6;7.3;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
39;23.5;8;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
40;23.6;8.3;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
41;24.1;6.4;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
42;26.6;5.2;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
43;25.4;6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
44;25.5;6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
45;27.45;5.7;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
46;26.85;6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
47;26.2;6.2;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
48;26.1;6.29;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
49;25;6.35;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
50;25.15;6.35;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
51;26.9;6.7;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
52;28.75;6.35;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
53;29.5;7.35;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
54;30.2;7.12;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
55;30.7;6.35;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
56;31.5;6;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
57;32.4;5.8;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
58;31.9;6.25;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
59;32.5;6.3;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
60;31.8;6.8;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
61;32.5;6.85;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
62;32.55;6.7;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
63;33.75;5.3;EBA;Unetice;Schunke and Stäuble 2019;Germany/Poland
