Site,Grave_ID,InventoryNumber,thickness_mm,grave_fill,clay_grain_size,temper,temper_percent,polish,smooth_beat,decorated (impression),impressed_decorations_perc,decorated (plastic),plastic_deco,slip_paint_perc,SurfaceFinishOutside,SurfaceFinishInside,Main type,Type,Plate,Measurements (mm),height_cm,max_width_cm,max_measure_cm,Measure_missing,height_mm,rim_mm,wall_mm,bottom_mm,Acc_number
Hostice 4,Hos_801,A 34147,6,,2-3 mm,mica,,,2,,,handle,1,1,coated with slip+smoothed,coated with slip+smoothed,jug,"jug (Drevohostice, undecorated)",3.3,"R ? 114 mm, B ? 83 mm, C ? 160/50 mm",13.5,16,16,,,,,,
Hostice 4,Hos_801,A 34152,7,,2-3 mm,mica,,,2,,,,,1,coated with slip+smoothed,coated with slip+smoothed,mug,mug (fragment),3.2,"H ? 96 mm, R ? 130 mm, B ? 90 mm, C ? 140/54 mm",9.6,14,14,,,,,,
Hostice 4,Hos_801,A 34153 - 34154,7,,2-3 mm,mica,,,1,,,,,0.5,coated with slip+smoothed,coarse-formed,NA,sherds (undetermined),3.4,10.4x3.75,10.4,3.75,10.4,,,,,,
Hostice 4,Hos_801,A 34155,10,,>3 mm,mica,,,1,,,,,0.5,coated with slip+smoothed,coarse-formed,amphora,amphora? (fragment),3.5,C ? 380 (?) mm (estimating height from drawing,23,38,38,,,,,,
Hostice 4,Hos_802,A 34156,5,,2-3 mm,mica,,,,,,,,,coarse-formed,coarse-formed,bowl,bowl,4.4,"H ? 82 mm, R ? 224 mm, B ? 80 mm",8.2,22.4,22.4,,,,,,
Hostice 4,Hos_802,A 34157,6,,<1 mm,mica,,,1,,,handle and ears,3,0.5,coated with slip,smoothed,jug,jug (amphora-like),4.6,"R ? 180 mm, B ? 115 mm (height measure from drawing)",38,18,38,,,,,,
Hostice 4,Hos_802,A 34158,7,,2-3 mm,mica,,,1,,,,,0.5,coated with slip+smoothed,coarse-formed,pot (egg-shaped),pot (ovoid/egg-shaped) vessel,4.5,"H ? 235 mm, R ? 160 mm, B ? 98 mm, C ? 200/105 mm",23.5,20,23.5,,,,,,
Hostice 4,Hos_802,A 34161,7,,<1 mm,mica,,,2,,,handle,1,,smoothed,smoothed,mug,mug (small shape),4.7,"C ? 160 (?) mm, R ? 100 (?)",14.8,16,16,,,,,,
Hostice 4,Hos_838,A 34450,5,,<1 mm,mica,,,2,,,handle,1,0.5,coated with slip+smoothed,smoothed,jug,jug (Drevohostice),11.7,"H ? 149 mm, R ? 134 mm, B ? 86 mm, C ? 184/57",14.9,194,19.4,,,,,,
Hostice 4,Hos_838,A 34451,,,1-2 mm,mica,,,2,,,,,0.5,smoothed,coated with slip+smoothed,bowl,bowl (with handle),11.6,"H ? 39 mm, R ? 98 mm, B ? 56 mm",3.9,9.8,9.8,,,,,,
Hostice 4,Hos_838,A 34452,6,,1-2 mm,mica,,,1,,,4 penetrations (counted as half),2,0.5,coated with slip+smoothed,coarse-formed,pot (egg-shaped),egg-shaped pot (w. 4 double penetrations on the edge),12.1,"H ? 308 mm, R ? 198 mm, B ? 100, C ? 236/150 mm.",30.8,23.6,30.8,,,,,,
Hostice 4,Hos_838,A 34453,10,,1-2 mm,mica,,1,1,,,,,0.5,coated with slip+polished,smoothed,bowl,bowl (originally w. ear),11.8,"H ? 112 mm, R ? 245 mm, B ? 117 mm",11.2,24.5,24.5,,,,,,
Hostice 4,Hos_838,A 34454,6,,2-3 mm,mica,,,2,,,ears,2,,smoothed,smoothed,amphora,double amphora,12.11,"R ? 107 mm, B ? 100 mm. (height measured from drawing)",33.5,10.7,33.5,,,,,,
Hostice 4,Hos_838,"A 34460, 34911, 34915-34918,34921-34923, 34930",4,,<1 mm,mica,,1,1,,,handle,1,1,coated with slip+polished,coated with slip+smoothed,jug,"jug (Nagyrev, Balkan type, reconstruction, only bottom preserved)",12.9,B ? 74 mm (height measured from drawing),21.07,16.6,21.07,,,,,,
Hostice 4,Hos_838,A 34931,6,,>3 mm,mica,,,,,,,,0.5,coated with slip,coarse-formed,vessel (medium),medium-sized vessel (middle fragment),12.12,B ? 85 mm (fragment height and max width measured from drawing),7.5,18.75,18.75,,,,,,
Hostice 4,Hos_839,A 34461,6,,1-2 mm,mica,,,2,1,0.15,1,8,,smoothed,smoothed,jug,"jug (amphora-like, decorated with plastic strips)",13.2,"H ? 378 mm, R ? 143 mm, B ? 110 mm, C ? 396/160 mm",37.8,39.6,39.6,,,,,,
Hostice 4,Hos_839,A 34462 1,4,,1-2 mm,mica,,,2,1,0.05,handle,1,0.5,coated with slip+smoothed,smoothed,jug,jug (and sherd),"13.1a, 13.1b","R ? 75 mm, B ? 60 mm, C ? 105/25 mm (height measured from drawing)",18,10.5,18,,,,,,
Ivanovice na Hane 3/2,Iv3_2_801,A16786,5,,indistinguishable (washed),mica,,,,,,,,,coarse-formed,coarse-formed,vessel (undetermined),"vessel (undetermined, lower part)",26.3,"H ? 23 mm, B ? 50? mm. (max width of fragment measured from drawing)",23,11,23,,,,,,
Ivanovice na Hane 3/2,Iv3_2_801,A16787,7,,<1 mm,mica,,,1,,,ears,2,,smoothed,coarse-formed,amphora,amphora (incomplete),27.8,"H ? 325? mm, R ? 120 mm, B ? 105 mm, C ? 315/145 mm.",32.5,31.5,32.5,,,,,,
Ivanovice na Hane 3/2,Iv3_2_801,A16788,3,,1-2 mm,mica,,,,,,,,,coarse-formed,coarse-formed,cup,cup-shaped vessel,26.4,"H ? 91-105 mm, R ? 84 mm, B ? 65 mm (height average used)",9.8,8.4,9.8,,,,,,
Ivanovice na Hane 3/2,Iv3_2_801,A16789,4,,>3 mm,mica,,,,,,,,,coarse-formed,coarse-formed,vessel (barrel-shaped),barrel-shaped vessel (incomplete),26.5,"H ? 126 mm, B ? 80 mm",12.6,11.1,12.6,,,,,,
Ivanovice na Hane 3/2,Iv3_2_801,A16790-16792,4,,2-3 mm,mica,,,2,,,,,,smoothed,smoothed,pot (egg-shaped),ovoid vessel (fragments),27.7,measurements from reconstructed drawing,22.7,18,22.7,,,,,,
Ivanovice na Hane 3/2,Iv3_2_803,A16797,3,,<1 mm,mica,,,2,1,0.4,handle,1,,smoothed,smoothed,jug,jug (Drevohostice),29.3,"H ? 150 mm, R ? 98 mm, B ? 62 mm, C ? 144/53 mm",15,14.4,15,,,,,,
