type;type_description;time_PH;total_bone_PH;related_material;related_PH;skill_level;reference;URL
T-axe;T-shaped axe;Break, shape, etc: 1 PH, grinding: 0,5 PH, drill shaft-hole: 10-15 min (0,17-0,25 PH) (mean 0,21);1.71;wooden handle (large);8.6;medium-high;Informant (MK);
bone awl simple;bone awl simple;simple (elbow bone): 10-15 min (0,17-0,25 PH);0.21;handle (small);0.86;low;Informant (MK);
bone awl complex;bone awl complex;complex (metapodial): cutting: 1 PH, grind until pointy: 1 PH);2;handle (small);0.86;low;Informant (MK);
bone needle;bone needle;1,5 PH;1.5;;;medium-high;Informant (MK);
antler needle;antler needle (soaked);Pre-groove cut: 2 min, cut and break: 15 min, longitudinal grooves: 15-20 min (mean 17,5 min), wiggle out needle blank: 5 min, scrape out spongy interior: 2 min, groove/drill needle eye: 5-10 min (mean 7,5), final shape grinding: 5-10 min (mean 7,5), total = 56,5 min;0.9;;;medium-high;Sally Pointer experimental video[1];https://www.youtube.com/watch?v=vPxJpugApEY&ab_channel=SallyPointer
bone chisel;bone chisel;(split bone, cut off end and grind) 2 PH (max incl. grinding);2;;;low;Informant (MK);
harpoon;harpoon;(e.g. Pitted Ware style, extensive grinding into shape, then cutting barbs), 8-16 PH (mean 12);12;;;medium-high;Informant (MK);
bone pin simple;bone pin simple;simple: 1-2 PH (mean 1,5);1.5;;;medium;Informant (MK);
bone pin complex;bone pin complex;complex (ornamental shaping): 8-16 PH (mean 12);12;;;high;Informant (MK);
bone point simple;bone point simple;simple: 1 PH;1;;;low;Informant (MK);
bone point complex;bone point complex;complex: 4-5 PH (mean 4,5);4.5;;;medium;Informant (MK);
spearhead;spearhead (splitting cattle bone, grinding);blank: 1-2 PH (mean 1,5), grinding: 2 PH, if barbs: see harpoon;3.5;wooden handle (medium);4;medium-high;Informant (MK);
bone ring (regular);bone ring (fingering, earring, etc.);(thick piece, drill several holes, split bone in half) blank: 2 PH, shaping ring: 4-5 PH (mean 4.5);6.5;;;high;Informant (MK);
bone comb;bone comb;8-16 PH? (mean 12 PH);12;;;medium;Informant (MK);
bone pendant_button;bone pendant/button;raw bone pendant/button: drilling: 1-20 min (0,02-0,33 PH) (mean 0,18 PH), grinding 1 PH;1.18;;;medium;Informant (MK);
plaque_disc;plaque/disc (e.g boar’s tusk);plaque/disc: splitting in half: 2 PH, grinding 1 PH;3;;;medium;Informant (MK);
bone bead;bone beads;drilling, carving/sawing blanks (several at a time), quick grinding/abrading, informant (MK) total c. 30 min, Gurova/Bonsall: drilling 30 min, sawing blanks: 30-38 (drill type dependant, mean 34 min, 0,57 PH), shaping/abrading: 35 min, 0,58 PH, total = 1,65 PH. Mean of MK and Gurova/Bonsall = 1,075 PH;1.075;necklace string (e.g. nettle);1;medium;Informant (MK), Gurova and Bonsall 2017;https://www.academia.edu/34869732
tooth bead;perforated tooth bead (e.g. dog, fox, deer, etc.);Break bone to extract tooth (c. 5 mins, own experience with wild boar), perforation (bifacial rotation with lithic tool), abrasion of distal-buccal root for aesthetic rounding;0.5;necklace string (e.g. nettle);1;low;Frinculeasa et al. 2020, Informant (MK);
astragalus perforated;astragalus (perforated);10 min = 0,17 PH;0.17;;;low;Informant (MK);
bone ring (disc);bone ring (bracelet size, disc-shaped from shoulder blade, Ertebølle style);Carefully cut out inner and outer circle of ring on broad part of large thick shoulder blade with flint: 3 h, 6 m;3.01;;;medium;Informant (Alexy);
