Experiment;Batch;cupellation_ID;time_mins;cupellation_completed;Batch_mean;lead_bullion_g;silver_button_g;Ag_perc;Ag_yield_percent;Batch_mean_Ag_yield%
1;1;XP1.1-1;38;FALSE;;20.72;0.2564;169.5;;
1;1;XP1.1-2;36;TRUE;35;21.2;0.1481;95.7;0.698584905660377;0.701222469172358
1;1;XP1.1-3;31;TRUE;;22.94;0.1598;95.4;0.696599825632084;
1;1;XP1.1-4;38;TRUE;;16.74;0.1186;97.1;0.708482676224612;
1;2;XP1.2-1;35;TRUE;35.5;20.15;0.1928;95.7;0.95682382133995;0.96124966047495
1;2;XP1.2-2;40;TRUE;;21.2;0.2052;96.8;0.967924528301887;
1;2;XP1.2-3;37;TRUE;;22.13;0.2093;94.6;0.945774966109354;
1;2;XP1.2-4;30;TRUE;;17.63;0.1718;97.4;0.97447532614861;
1;3;XP1.3-1;40;TRUE;38.5;20.54;0.1912;93.1;0.930866601752678;0.911666846886186
1;3;XP1.3-2;38;TRUE;;20.73;0.1927;93;0.929570670525808;
1;3;XP1.3-3;36;TRUE;;21;0.2003;95.4;0.953809523809524;
1;3;XP1.3-4;40;TRUE;;18.26;0.152;83.2;0.832420591456736;
2;1;XP2.1-1;64;TRUE;41.25;18.75;0.1775;93.9;0.946666666666667;0.948710140273613
2;1;XP2.1-2;36;TRUE;;21.14;0.1986;93.2;0.939451277199622;
2;1;XP2.1-3;35;TRUE;;22.35;0.2135;94.8;0.955257270693512;
2;1;XP2.1-4;30;TRUE;;20.2;0.1926;94.6;0.953465346534653;
2;2;XP2.2-1;33;TRUE;31;20.23;0.1917;93;0.947602570439941;0.947641579763767
2;2;XP2.2-2;28;TRUE;;18.1;0.1695;91.9;0.93646408839779;
2;2;XP2.2-3;30;TRUE;;21.71;0.2042;92.3;0.940580377706126;
2;2;XP2.2-4;33;TRUE;;22.3;0.2154;94.8;0.965919282511211;
2;3;XP2.3-1;34;TRUE;33.75;22.34;0.2063;92.8;0.923455684870188;0.91784172792875
2;3;XP2.3-2;32;TRUE;;19.38;0.1772;91.9;0.914344685242518;
2;3;XP2.3-3;32;TRUE;;19.7;0.1816;92.6;0.921827411167513;
2;3;XP2.3-4;37;TRUE;;23;0.2097;91.6;0.911739130434783;
2;4;XP2.4-1;35;TRUE;34.75;19.46;0.1789;90.6;0.919321685508736;0.916361921355357
2;4;XP2.4-2;32;TRUE;;21.38;0.1972;90.9;0.922357343311506;
2;4;XP2.4-3;34;TRUE;;22.16;0.2052;91.2;0.925992779783394;
2;4;XP2.4-4;38;TRUE;;23.38;0.2099;88.5;0.897775876817793;
;;;;Total_mean;35.7 min;20.67;0.19;93.19;0.919206579583938;0.900670620836426
;;;;furnace preheated to 900 deg;150 min;;;;;
This data is taken from L’Heritier et al. 2015 https://doi.org/10.1016/j.jas.2015.02.002;;;;;;;;;;
;;;;;;0.92;;;;
