object_type;type_simple;rock_type;mohs_hardness;toughness;raw_material_PH;extraction_method;extraction_description;shaping_description;time_description;preform_PH;grind_area;grind_polish_PH;skill_level;knapper;length_description;axe_length_cm;width_cm;thickness_cm;blank_weight_g;axe_weight_g;URL_ISBN_DOI;ref_short;reference
Neolithic groundstone axe;groundstone axe;diabase;5;1.6;0.15;fire;fire (inferred from Cresson et al);Pecking/chipping blank into axe shape, 15 cm, depends on shape and material of the blank;chipping: Up to 40 PH (diabase (4-6 Mohs), grinding: c. 6 PH;40;full;6;;WH;axe;15;;;;;https://www.youtube.com/watch?v=Q-EPqWdkdw4&ab_channel=ulfr23 ;Hein;Wulf Hein (comments on own Youtube video 2018-19), Informant (MK)
Neolithic Alpine axe;Alpine Axe;amphibolite;6.5;2.3;1;heavy percussion;heavy percussion with tough stone;;10.5 grinding sides + 8.5 knapping + 7.5 grinding edge;8.5;edge;17.5;;Pet;axe;16.7;7.1;2.5;;530 g;978-2-84867-412-4;Petrequin;Pétrequin et al 2012
Neolithic Alpine axe (Begúde type);Alpine Axe;jadeitite;6.75;7;0.25;heavy percussion;heavy percussion with 5 kg hammerstone;blank: heavy hammer + cutting, and anvil percussion;Most effective with larger stones (including flint) in the beginning and effectiveness decreasing with smaller hammerstones necessary to avoid breaking the blank, combination of stone and wooden (birch) anvils used. ;140;;;medium;Pet;blank;23.5;;;1840;;978-2-84867-412-4;Petrequin;Pétrequin et al 2012
Neolithic Alpine axe;Alpine Axe;serpentinite;3.5;7;11;sawing;sawing  (splitting) 30 cm long 10 cm thick block with quartz sand, water and wood in two pieces;;;;;;;Pet;blank;30;;;;;978-2-84867-412-4;Petrequin;Pétrequin et al 2012
Neolithic Alpine axe;Alpine Axe;serpentinite;3.5;7;0.5;heavy percussion;cutting blank (max 30 min) and chipping into preform (few minutes);;;0.1;;;;Pet;;;;;;;;Petrequin;Pétrequin et al 2012
Neolithic Alpine axe;Alpine Axe;jadeitite;6.75;7;50;sawing;sawing (splitting) a block into two axes at once (total 100 hours, 50 hours per piece, 2-3 persons);;;;;;;Pet;;;;;;;978-2-84867-412-4;Petrequin;Pétrequin et al 2012
Neolithic Alpine axe (fully polished);Alpine Axe;jadeitite;6.75;7;0.33;fire;fire;;;;full;80;;Pet;blank;20-30;;;830;;978-2-84867-412-4;Petrequin;Pétrequin et al 2012
Neolithic Alpine axe (only edge polished);Alpine Axe;jadeitite;6.75;7;0.33;fire;fire;;;;edge;60;;Pet;blank;20-30;;;;;978-2-84867-412-4;Petrequin;Pétrequin et al 2012
Neolithic Alpine axe (full mirror polish);Alpine Axe;jadeitite;6.75;7;0.33;fire;fire;;grinding could be up to several hundred hours;1.33;full mirror;160;;Pet;axe;20-30;;;;;978-2-84867-412-4;Petrequin;Pétrequin et al 2012
Thin-butted groundstone axe;groundstone axe;amphibolite;6.5;2.3;0.25;heavy percussion;blank made from nodule of soft amphibolite boulder from the till near Lund,;Axe ID: Axe 11, pecking/chipping blank into unpolished axe;blank pecked to unpolished axe form, 111 mins, grinding 87 mins;1.85;full;1.45;medium;Haas;;;;;;;978-91-40-04883-7;Olausson;Olausson 1983a: table 4
Thin-butted groundstone axe;groundstone axe;catoctin greenstone;3.75;1.5;0.2;heavy percussion;blank made from nodule (using greenschist as per catoctin’s description as “greenstone schist” in Furcron 1939 on Catoctin https://www.dmme.virginia.gov/commercedocs/BUL_54.pdf);Axe ID: 83EC5, pecking/chipping blank into unpolished axe;blank pecked to unpolished axe form, 192 mins, grinding 66 mins;3.2;full;1.1;medium;EC;;;;;;;978-91-40-04883-7;Olausson;Olausson 1983a: table 4
Thick-butted groundstone axe;groundstone axe;catoctin greenstone;3.75;1.5;0.67;heavy percussion;blank made from nodule (using greenschist as per catoctin’s description as “greenstone schist” in Furcron 1939 on Catoctin https://www.dmme.virginia.gov/commercedocs/BUL_54.pdf);Axe ID: 83EC4, pecking/chipping blank into unpolished axe;blank pecked to unpolished axe form, 186 mins, grinding 80 mins;3.1;full;1.33;medium;EC;;;;;;;978-91-40-04883-7;Olausson;Olausson 1983a: table 4
Hollow-ground axe;groundstone axe;catoctin greenstone;3.75;1.5;0.33;heavy percussion;blank made from nodule (using greenschist as per catoctin’s description as “greenstone schist” in Furcron 1939 on Catoctin https://www.dmme.virginia.gov/commercedocs/BUL_54.pdf);Axe ID: 83EC3, pecking/chipping blank into unpolished axe;blank pecked to unpolished axe form, 260 mins, grinding 72 mins;4.33;full;1.2;medium;EC;;;;;;;978-91-40-04883-7;Olausson;Olausson 1983a: table 4
Axe;groundstone axe;sandstone;6.5;2.6;;;extraction or blank method not reported;Axe ID: “Axe”, pecking/chipping blank into unpolished axe;blank pecked to unpolished axe form, 220 mins, grinding 15 mins;3.67;full;0.25;medium;T_V;;;;;;;978-91-40-04883-7;Olausson;Olausson 1983a: table 4
Hatchet;Adze;gabbro;7;1.6;;;;Axe ID: “Hatchet”, pecking/chipping blank into unpolished axe;blank pecked to unpolished axe form, 70 mins, grinding 180 mins;1.17;full;3;medium;Evans;;;;;;;978-91-40-04883-7;Olausson;Olausson 1983a: table 4
