Site;Grave_ID;Object_ID;Plate_number;grave_fill;raw_material;mohs_hardness_mean;toughness;Mohs_notes;objectType;object_description;condition;grind_perc;length_mm;width_mm;thickness_mm;weight_g;hole_diam;source_distance_km;total_graves;total_material_absolute;skill_level;specialColor
Hoštice 4;Hos_847;A 34540;14:4;;serpentinite;4;7;https://rocks.comparenature.com/en/serpentinite-rock/model-103-0;axe-hammer;axe-hammer of Silesian type, drilled on both sides,;;1;125;43;40;318;19.5;200;413;29;;
Hoštice 4;Hos_847;A 34539;14:5;;eclogite;3.75;3.5;https://rocks.comparenature.com/en/eclogite-rock/model-49-0, toughness unknown, mean (0-7) used;flat axe;flat axe;;1;104;56;28;342;;90;413;6;;
Hostice 4;Hos_836;A 34438;10:1;;eclogite;3.75;3.5;https://rocks.comparenature.com/en/eclogite-rock/model-49-0, toughness unknown, mean (0-7) used;axe;axe;;1;89;46;25;223;;90;413;6;;
Hostice 4;Hos_802;A 34159;;;paleoandesite (porphyritic);7;1.1;https://rocks.comparenature.com/en/andesite-rock/model-21-0;flat axe;flat ax with traces of red dye on the surface,;;1;84;38;25;136;;48;413;9;;
Hostice 4;Hos_802;A 34168a;4.9;TRUE;culm greywacke?;6.5;2.6;https://rocks.comparenature.com/en/greywacke-rock/model-41-0;pebble;fraction of fine-grained pebble, L - 18 mm, W - 15 mm, T - 8 mm;;0;18;15;8;;;5;413;2;;
Hostice 4;Hos_802;A 34168b;4.9;TRUE;quartz;7;1.6;https://doi.org/10.2138/am.2006.1844;pebble;quartz pebble, L - 55 mm, W - 47 mm, T - 26 mm;;0;55;47;26;;;5;413;413;;
Hostice 4;Hos_800;A 34144;;;dark fine-grained paleovolcanite (porphyritic?);6.25;2.7;volcanite used from 10.1016/s0043-1648(01)00717-7, toughness unknown, mean (0-7) used;axe;axe/wedge;;1;66;40;18;92;;48;413;2;;
Hostice 4;Hos_800;A 34143;;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe-hammer;lost;;1;;;;;;5;413;184;;
Hostice 4;Hos_800;A 34142;;;eclogite;3.75;3.5;https://rocks.comparenature.com/en/eclogite-rock/model-49-0, toughness unknown, mean (0-7) used;axe;;;1;132;57;35;567;;90;413;6;;
Hostice 4;Hos_847;A 34536;;;metabasite;6.5;3.13;https://www.jstor.org/stable/40713210, toughness mean of all rocks in dataset;axe-hammer;simple-shaped axe-hammer, double-sided drilled, metabasite;;1;77;40;40;203;18-21;25;413;184;;
Hostice 4;Hos_847;A 34540;;;serpentinite;4;7;https://rocks.comparenature.com/en/serpentinite-rock/model-103-0;axe-hammer;Silesian-type axe-hammer, drilled on both sides, serpentinite;;1;125;43;40;318;19-20;200;413;29;;
Hostice 4;Hos_847;A 34539;;;eclogite;3.75;3.5;https://rocks.comparenature.com/en/eclogite-rock/model-49-0, toughness unknown, mean (0-7) used;flat axe;flat axe, eclogite;;1;104;56;28;342;;90;413;6;;
Hostice 4;Hos_847;A 34542;;;amphibolite;6.5;2.3;https://rocks.comparenature.com/en/amphibolite-rock/model-42-0;flat axe;flat ax / wedge;;1;71;32;16;75;;50;413;39;;
Hostice 4;Hos_848;A 34610;20.2;;eclogite;3.75;3.5;https://rocks.comparenature.com/en/eclogite-rock/model-49-0, toughness unknown, mean (0-7) used;flat axe;damaged flat ax, eclogite (stored at container no. 3);;1;90;30;20;133;;90;413;6;;
Ivanovice na Hané 3/2;Iv3_2_825;A28072;43.2;;greenish white patinated serpentinite;4;7;https://rocks.comparenature.com/en/serpentinite-rock/model-103-0;axe-hammer;axe hammer, greenish white patinated serpentinite;;1;108;48;47;404;;200;413;29;;
Ivanovice na Hané 3/2;Iv3_2_814;A16937;35.5;;banded garnet metabasite (amphibolite-eclogite?);5;2.3;mean of amphibolite and eclogite Mohs hardness, amphibolite toughness used;axe;axe with defect (corner broken off), banded garnet metabasite (amphibolite-eclogite?);defect;1;126;50;22;316;;25;413;184;;
Ivanovice na Hané 3/2;Iv3_2_800;A16783;25.2;;banded green slate;3.5;1.2;https://rocks.comparenature.com/en/slate-rock/model-2-0;axe-hammer (faceted);faceted axe-hammer with local damage to the back, finely banded green slate;;1;140;39;31;300;;5;413;184;;
